Species,Photo_ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Dicrurus aeneus,611189318,55.7,113.518,67.537,13.3,6.1,6.53,5.03,5.78,1.68,2.18,-0.23
Lanius cristatus,179945281,133.53,213.965,177.792,11.6,7.9,7.24,5.93,6.59,1.2,1.47,-0.18
Lanius cristatus,623703917,83.51,153.375,115.352,11.6,7.9,6.32,5.72,6.02,1.33,1.47,-0.09
Lanius cristatus,611752641,89.56,147.959,118.609,11.6,7.9,7.02,5.97,6.49,1.25,1.47,-0.15
Lanius cristatus,296313511,60.69,104.389,89.157,11.6,7.9,6.74,5.38,6.06,1.17,1.47,-0.2
Lanius cristatus,491999201,80.18,131.192,105.077,11.6,7.9,7.09,6.03,6.56,1.25,1.47,-0.15
Lanius cristatus,193787481,40.13,74.004,55.376,11.6,7.9,6.29,5.73,6.01,1.34,1.47,-0.09
Lanius cristatus,545331441,82.52,145.152,105.005,11.6,7.9,6.6,6.21,6.4,1.38,1.47,-0.06
Lanius cristatus,20199391,160.46,221.563,186.968,11.6,7.9,8.4,6.78,7.59,1.19,1.47,-0.19
Lanius cristatus,147856421,90.09,144.586,129.124,11.6,7.9,7.23,5.51,6.37,1.12,1.47,-0.24
